"Location Name","Location ID","Comments within last month / comments last recorded","Registered manager","Location UPRN","Location telephone number","Location Web Address","Location Local Authority","Location ADASS Region","Primary inspection category","Service Types","Care homes beds","Location HSCA start date","Location HSCA end date","Dormant","Location Latest Overall Rating","Publication Date","Service users supported","Size of care home (bands by number of beds)","Location length of service (bands by number of years)","Location safe rating","Location effective rating","Location caring rating","Location responsive rating","Location well-led rating","Provider Name","Provider ID","Provider HSCA start date","Provider length of service (bands by number of years)","Provider Ownership Type","Provider Companies House Number","Provider characteristic - number of locations","Provider characteristic - national group size (based on locations)","Provider characteristic - number of beds","Provider characteristic - share of beds (nationally)","Provider characteristic - number of local authority areas where it has locations","Provider characteristic - % of local authority areas where it has locations","Brand Name","Brand ID","Brand characteristic - number of locations","Brand characteristic -national group size (based on locations)","Brand characteristic - number of beds","Brand characteristic - share of beds (nationally)","Brand characteristic - % of local authority areas where it has locations","Brand characteristic - number of local authority areas where it has locations"
"1 High Street","1-22345968773","","Rykowska, Katarzyna, Miss","10096207883","01223883130","","Cambridgeshire","East (ADASS Region)","Residential social care","Care home service without nursing","5","2025-04-15","","N","Good","4/15/2025 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","","Good","Good","Good","Good","Good","The Edmund Trust","1-101613491","10/1/2010 12:00:00 AM","15","Organisation","02872186","10","6 - 10 locations","43","0","1","1.00%","","","","","","0","",""
"1 Hill Close","1-211316158","","Hunt, James, Mr","63053283","01977797235","","Wakefield","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing","3","2011-04-11","","N","Requires improvement","4/11/2011 12:00:00 AM","Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Requires improvement","Good","Good","Good","Requires improvement","Hillcrest & Lyndale Care & Support Services Limited","1-145559574","4/11/2011 12:00:00 AM","14","Organisation","07164067","4","2 - 5 locations","44","0","1","1.00%","","","","","","0","",""
"1 Homecare","1-2807959465","","Rashid, Asiea, Miss","10002219989","01772301800","","Lancashire","North West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2016-08-05","","N","Good","8/5/2016 12:00:00 AM","Dementia, Learning Disabilities or autistic spectrum disorder, Sensory impairment, Services for everyone","","More than 8 years","Good","Good","Good","Good","Good","1 Homecare Ltd","1-2700539919","8/5/2016 12:00:00 AM","9","Organisation","10042729","3","2 - 5 locations","0","0","3","2.00%","","","","","","0","",""
"1 Homecare Blackpool","1-7233036014","","","10091788001","01253428040","www.1homecare.co.uk","Blackpool","North West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2019-07-24","","N","Good","7/24/2019 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities, Sensory impairment","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","1 Homecare Ltd","1-2700539919","8/5/2016 12:00:00 AM","9","Organisation","10042729","3","2 - 5 locations","0","0","3","2.00%","","","","","","0","",""
"1 Homecare Bradford","1-19896300393","","Fray, Ranjit Kaur, Mrs","10094874185","01274790197","www.1homecare.co.uk","Bradford","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2024-10-11","","N","","10/11/2024 12:00:00 AM","Dementia, Physical disabilities, Sensory impairment","","More than 1 year but less than 3 years","","","","","","1 Homecare Ltd","1-2700539919","8/5/2016 12:00:00 AM","9","Organisation","10042729","3","2 - 5 locations","0","0","3","2.00%","","","","","","0","",""
"1 Lansdowne Road","1-523403409","","","100080023770","01234357339","www.lansdownecare.com","Bedford Borough","East (ADASS Region)","Residential social care","Care home service without nursing","14","2012-11-16","","N","Good","11/16/2012 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","10-24 beds","More than 8 years","Good","Good","Good","Requires improvement","Good","Lansdowne Care Services Limited","1-482037896","11/16/2012 12:00:00 AM","13","Organisation","07961457","3","2 - 5 locations","29","0","1","1.00%","","","","","","0","",""
"1 Longmore Road","1-129453905","","Neilson, Linda, Ms","14002282","01189867457","www.voyagecare.com","Wokingham","South East (ADASS Region)","Residential social care","Care home service without nursing","7","2010-12-20","","N","Good","12/20/2010 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"1 Lufkin Road","1-18442818029","","William, Julius Okafor, Mr","100090462955","03337727345","","Essex","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2024-02-01","","Y","","2/1/2024 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","","More than 1 year but less than 3 years","","","","","","Authentic Care Ltd","1-15300502103","2/1/2024 12:00:00 AM","2","Organisation","11702285","1","1 location","0","0","1","1.00%","","","","","","0","",""
"1 Noble Healthcare Ltd","1-24023006714","","Dan-Daniel, Omietimi Noble, Mr","","07465788880","www.1noblehealthcare.com","Portsmouth","South East (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2025-07-23","","N","","7/23/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","","","","","","","","1 Noble Healthcare Ltd","1-22807883941","7/23/2025 12:00:00 AM","0","Organisation","","1","1 location","0","0","1","1.00%","","","","","","0","",""
"1 Oak Home Care","1-3857492640","","Clark, Angel Louise, Mrs","10013115809","01787326555","www.1oakcare.com","Suffolk","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2017-05-24","","N","Good","5/24/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","","More than 8 years","Good","Good","Good","Good","Good","1 Oak Group Limited","1-3530904235","5/24/2017 12:00:00 AM","8","Organisation","10573704","2","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
"1 of A Kind Care","1-22156038335","","Pankhania, Tara, Mrs","2465183636","01165075605","WWW.1OFAKINDCARE.COM","Leicester","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2025-05-08","","Y","","5/8/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","","","","","","","","1OAK Cura Ltd","1-21251661750","5/8/2025 12:00:00 AM","0","Organisation","15096196","1","1 location","0","0","1","1.00%","","","","","","0","",""
"1 Sewardstone Close","1-147971500","","Goodwin, Marie Jane, Miss","100091249975","02084985620","www.enablecare.co.uk","Essex","East (ADASS Region)","Residential social care","Care home service with nursing","29","2010-12-21","","N","Good","12/21/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","25-39 beds","More than 8 years","Good","Good","Good","Good","Good","ABI Developments 3 Limited","1-126296791","12/21/2010 12:00:00 AM","15","Organisation","06473794","1","1 location","29","0","1","1.00%","","","","","","0","",""
"1 Sheringham Avenue","1-1435221697","","Moyo, Messias, Mr","207123740","02083605075","www.voyagecare.com","Enfield","Greater London (ADASS Region)","Residential social care","Care home service without nursing","5","2014-06-03","","N","Outstanding","6/3/2014 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Outstanding","Outstanding","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"1 Southdowns View","1-153712008","","Thomas, Lorraine, Mrs","10070939087","01435882936","","East Sussex","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2011-01-25","","N","Good","1/25/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","","More than 8 years","Good","Good","Good","Good","Good","Kestrel Homecare Limited","1-131473456","1/25/2011 12:00:00 AM","15","Organisation","07206452","1","1 location","0","0","1","1.00%","","","","","","0","",""
"1 Spindle Close","1-14251653878","","Amoo-Owolabi, Oluwatoyin Anike, Mrs","10010202431","07956934850","","Greenwich","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2022-11-01","","N","","11/1/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","","More than 3 years but less than 5 years","","","","","","Cornerstonee Home Care Ltd","1-13050856535","11/1/2022 12:00:00 AM","3","Organisation","11833791","1","1 location","0","0","1","1.00%","","","","","","0","",""
"1 Stop Rec Limited","1-13765726722","","Stevens, Irma, ","10004943551","01206616171","www.1stophealthcare.co.uk","Essex","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2022-08-18","","N","Good","8/18/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","","More than 3 years but less than 5 years","Good","Good","Good","Good","Requires improvement","1 Stop Rec Limited","1-342448295","1/26/2012 12:00:00 AM","14","Organisation","06620231","2","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
"1 Stratton Road","1-1070281691","","Brady, Mark Daly, Mr","100120986800","01672563429","www.innovationswiltshireltd.co.uk","Wiltshire","South West (ADASS Region)","Residential social care","Care home service without nursing","3","2013-11-22","","N","Good","11/22/2013 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Innovations Wiltshire Limited","1-101667440","10/1/2010 12:00:00 AM","15","Organisation","03436012","10","6 - 10 locations","24","0","1","1.00%","","","","","","0","",""
"1 Tayside Close","1-9455092635","","Musaka, Moses Tawanda, Mr","100030242026","07891808977","","Derbyshire","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2020-10-16","","N","","10/16/2020 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 5 years but less than 8 years","","","","","","Brook of Life Care Limited","1-9006825995","10/16/2020 12:00:00 AM","5","Organisation","12061707","1","1 location","0","0","1","1.00%","","","","","","0","",""
"1 The Avenue Knaresborough","1-9790438501","","Houston, David Anthony, Mr","100050421965","","","North Yorkshire","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing","5","2020-12-01","","N","Good","12/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Homes Together Limited","1-101640445","10/1/2010 12:00:00 AM","15","Organisation","05091920","12","11 - 20 locations","78","0.01","2","1.00%","","","","","","0","",""
"1 To 1 Care UK Ltd","1-122222148","","Harris, Sheena, Mrs","10033019455","01865343134","www.1to1care.co.uk","Oxfordshire","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2010-10-29","","N","Good","10/29/2010 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Eating disorders, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment, Substance misuse problems","","More than 8 years","Good","Good","Good","Good","Good","1 to 1 Care UK Limited","1-101692275","10/1/2010 12:00:00 AM","15","Organisation","06398302","1","1 location","0","0","1","1.00%","","","","","","0","",""
"1 To Be Support Ltd","1-21990003358","","Riding, Tony, Mr","10024009685","","","Kingston upon Hull","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Supported living service","0","2025-05-01","","Y","","5/1/2025 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","","","","","","","","1 To Be Support Ltd","1-20399889255","5/1/2025 12:00:00 AM","0","Organisation","15915290","1","1 location","0","0","1","1.00%","","","","","","0","",""
"1 Windmill Barns","1-18175710344","","Spittle, Kelly Anne, Mrs","10095664174","07739849045","www.pcsltd.org.uk","Warwickshire","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","2","2024-01-25","","N","","1/25/2024 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 1 year but less than 3 years","","","","","","Parker Care Services Limited","1-13606763564","1/25/2024 12:00:00 AM","2","Organisation","13957670","1","1 location","2","0","1","1.00%","","","","","","0","",""
"1 Windsor road","1-13911410691","","Frempong, Ama Boamaah, Mrs","10093702677","","","Essex","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2022-09-23","","Y","","9/23/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder","","More than 3 years but less than 5 years","","","","","","Kleare Care Solutions Limited","1-9565974463","9/23/2022 12:00:00 AM","3","Organisation","11784135","1","1 location","0","0","1","1.00%","","","","","","0","",""
"1, 2 and 3 St Georges Gardens","1-18146816866","","Lewis, David Colin, Mr","42193974","07912241036","www.autismpathways.co.uk","Wirral","North West (ADASS Region)","Residential social care","Care home service without nursing","3","2023-11-24","","N","","11/24/2023 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","1-9 beds","More than 1 year but less than 3 years","","","","","","AP Birkenhead Limited","1-17086636090","11/24/2023 12:00:00 AM","2","Organisation","13023861","1","1 location","3","0","1","1.00%","","","","","","0","",""
"1-2 Canterbury Close","1-129460599","","Burkhill, Alix Elizabeth Aron, Mrs","10000856321","01709379129","www.voyagecare.com","Rotherham","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing","10","2010-12-20","","N","Good","12/20/2010 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"1-2 Prior's Court Cottages","1-293119881","","Mackay, Emma Louise, Ms","","01635247202","www.priorscourt.org.uk","West Berkshire","South East (ADASS Region)","Residential social care","Care home service without nursing","6","2011-08-11","","N","Good","8/11/2011 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Prior's Court Foundation","1-243462181","8/11/2011 12:00:00 AM","14","Organisation","03583324","4","2 - 5 locations","25","0","1","1.00%","","","","","","0","",""
"1-2-1 Live In Care Ltd","1-13031179547","","Woods, Claire, Mrs","10094574632","07868349482","www.1-2-1-live-in-care.co.uk","Somerset","South West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2022-04-25","","N","","4/25/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","","More than 3 years but less than 5 years","","","","","","1-2-1 Live In Care Ltd","1-12610570838","4/25/2022 12:00:00 AM","3","Organisation","13823728","1","1 location","0","0","1","1.00%","","","","","","0","",""
"1-3 The Courtyard, Unit 24","1-2310061252","","Nicholson, Karina Ann, Mrs","","01204360220","www.comco.org.uk","Bolton","North West (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2015-12-11","","N","Good","12/11/2015 12:00:00 AM","Caring for adults over 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment, Substance misuse problems","","More than 8 years","Good","Good","Good","Good","Good","Community Care Options","1-101663172","10/1/2010 12:00:00 AM","15","Organisation","02642512","2","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
"10 College Place","1-19060254513","","Kuti, Damilola Grace, Miss","","","","Southampton","South East (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2024-04-29","","N","","4/29/2024 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 1 year but less than 3 years","","","","","","DHS Supported Living Services Ltd","1-10455368319","4/29/2024 12:00:00 AM","1","Organisation","12975429","1","1 location","0","0","1","1.00%","","","","","","0","",""
"10 Harley Street","1-288474903","","Rohatgi, Subir, Dr","30356539","07956925272","www.homehealthservice.co.uk/harley-street-clinic/","Westminster","Greater London (ADASS Region)","Independent consulting doctors","Doctors treatment service, Mobile doctors service","0","2011-08-02","","N","Good","8/2/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Mental health conditions, Substance misuse problems","","More than 8 years","Good","Good","Good","Good","Good","Home Health Service Limited","1-126785794","8/2/2011 12:00:00 AM","14","Organisation","06335559","1","1 location","0","0","1","1.00%","","","","","","0","",""
"10 High Street","1-130902143","","Emery, Bradley Miles, Mr","100121089387","01380870061","www.nationalcaregroup.com","Wiltshire","South West (ADASS Region)","Residential social care","Care home service without nursing","8","2010-12-16","","N","Good","12/16/2010 12:00:00 AM","Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Cornerstones (UK) Ltd","1-101616730","10/1/2010 12:00:00 AM","15","Organisation","04668634","9","6 - 10 locations","40","0","1","1.00%","BRAND National Care Group","BD509","101","More than 50 locations","597","0.07","21","14.00%"
"10 Nimrod Drive","1-1138021970","","Howell, Jodie Violet Marie, Miss","10007554826","01707258342","","Hertfordshire","East (ADASS Region)","Residential social care","Care home service without nursing","6","2013-12-27","","N","Good","12/27/2013 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Exclusive Care Limited","1-416437455","5/18/2012 12:00:00 AM","13","Organisation","07893331","8","6 - 10 locations","28","0","4","3.00%","","","","","","0","",""
"10 Spennithorne Road","1-466088203","","Hernandez, Steven Dean, Mr","100011673132","01617486414","","Trafford","North West (ADASS Region)","Residential social care","Care home service without nursing","4","2012-09-17","","N","Good","9/17/2012 12:00:00 AM","Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Future Directions CIC","1-438920790","7/4/2012 12:00:00 AM","13","Organisation","08041420","6","6 - 10 locations","48","0.01","4","3.00%","","","","","","0","",""
"10 STAR RECRUITMENT LIMITED","1-24392503110","","Nwojo, Kingsley Chukwuemeka, Mr","10092052501","02033937275","www.10starrecruitment.com","Brighton and Hove","South East (ADASS Region)","","Domiciliary care service","0","2025-08-11","","Y","","8/11/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities","","","","","","","","10 Star Recruitment Limited","1-18770725411","8/11/2025 12:00:00 AM","0","Organisation","14016819","1","1 location","0","0","1","1.00%","","","","","","0","",""
"10 The Green","1-15303501099","","Farah, Ayan Osman, Mrs","10033397180","07956725311","www.claritycareliving.co.uk","Birmingham","West Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2023-05-23","","N","","5/23/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","","More than 1 year but less than 3 years","","","","","","Clarity Care Living Ltd","1-15018710543","5/23/2023 12:00:00 AM","2","Organisation","14599293","1","1 location","0","0","1","1.00%","","","","","","0","",""
"10 Wood Road","1-10750825967","","Bepe, Sekai, Ms","100050881423","","","Rotherham","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2021-04-19","","N","Good","4/19/2021 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","Lilies24 Healthcare Ltd","1-9743547333","4/19/2021 12:00:00 AM","4","Organisation","07807094","1","1 location","0","0","1","1.00%","","","","","","0","",""
"10-12 Hainsworth Park","1-11051756072","","Turner, Jerri Anne, Mrs","10008635931","07796013455","www.tulipcommunitycare.co.uk","Kingston upon Hull","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service with nursing","4","2021-06-10","","N","Requires improvement","6/10/2021 12:00:00 AM","Caring for adults under 65 yrs, Caring for children, Mental health conditions","1-9 beds","More than 3 years but less than 5 years","Requires improvement","Requires improvement","Good","Good","Requires improvement","Tulip Mental Health and Community Care Limited","1-9863942366","6/10/2021 12:00:00 AM","4","Organisation","12171383","3","2 - 5 locations","7","0","1","1.00%","","","","","","0","",""
