Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
"ABISA Support 18 Devonshire Square, Office 2","105 Ashby Road, Office 5",,Loughborough,,LE11 3AB,07466072212,1-12057614005,1-12866344796,,Leicestershire,East Midlands,,https://www.cqc.org.uk/location/1-12866344796,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Physical disabilities",Supported living,ABISA Limited
"Abbeyfield Braintree, Bocking and Felsted Society Limited",338 Coggeshall Road,,Braintree,Essex,CM7 9EH,01376344385,1-3307134918,,https://www.abbeyfieldatbraintree.co.uk,Essex,East,,https://www.cqc.org.uk/provider/1-3307134918,Abbeyfield Braintree Bocking and Felsted Society,Personal care,Organisation,"Abbeyfield Braintree, Bocking and Felsted Society Limited"
"Aberfeldy Practice, Aberfeldy Health & Wellbeing Centre",19 Aberfeldy Square,,London,,E14 0XA,02075155622,1-199732593,1-20393877634,,Tower Hamlets,London,2016-11-02T00:00:00Z,https://www.cqc.org.uk/location/1-20393877634,,Services for everyone,"Doctors/GPs,Doctors/GPs",Aberfeldy Practice
"Active Social Care Limited (Kirklees, Calderdale and Bradford)","8 Cartwright Court, Dyson Wood Way","Bradley Business Park, Bradley",Huddersfield,West Yorkshire,HD2 1GN,01484544100,1-101670421,1-129544686,,Kirklees,Yorkshire & Humberside,2018-06-27T00:00:00Z,https://www.cqc.org.uk/location/1-129544686,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Homecare agencies,Supported living",Active Social Care Limited
"Address Healthcare	",62 Portman Road,,Reading,Berkshire,RG30 1EA,07775764308,1-13441610703,1-13940706084,,Reading,South East,,https://www.cqc.org.uk/location/1-13940706084,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs","Homecare agencies,Supported living",Address Enterprise Limited
"Advance Bexley, Kent and East London Domicilary Care and Supported Living Services",75 Lion Road,,Bexleyheath,,DA6 8NW,,1-101652400,1-14615371544,,Bexley,London,,https://www.cqc.org.uk/location/1-14615371544,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs","Homecare agencies,Supported living",Advance Housing and Support Ltd
"Affinity Trust - Domiciliary Care Agency South East, Bedford and Northamptonshire",Suite 2 & 3 Henwood Pavilion,Henwood,Ashford,Kent,TN24 8DH,01233665324,1-102643131,1-728298431,https://www.affinitytrust.org,Kent,South East,2020-01-25T00:00:00Z,https://www.cqc.org.uk/location/1-728298431,Affinity Trust,"Sensory impairments,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Affinity Trust
"Afzal Rehman, Mohamed Khan & Sophia Wahla",21 Park Lane,,Swindon,Wiltshire,SN1 5EL,01793423661,1-10489636862,,,Swindon,South West,,https://www.cqc.org.uk/provider/1-10489636862,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Afzal Rehman, Mohamed Khan & Sophia Wahla"
"Age UK Redbridge, Barking & Havering Home Support Services","Prudential Buildings, 4th Floor",103 Cranbrook Road,Ilford,Essex,IG1 4PU,02082206000,1-101672229,1-119104830,https://www.acredbridge.co.uk,Redbridge,London,2019-01-11T00:00:00Z,https://www.cqc.org.uk/location/1-119104830,,Caring for adults over 65 yrs,Homecare agencies,"Age UK Redbridge, Barking and Havering Ltd"
"Age UK Redbridge, Barking and Havering Ltd","Prudential Buildings, 4th Floor",103 Cranbrook Road,Ilford,Essex,IG1 4PU,02082206000,1-101672229,,https://www.acredbridge.co.uk,Redbridge,London,,https://www.cqc.org.uk/provider/1-101672229,,Personal care,Organisation,"Age UK Redbridge, Barking and Havering Ltd"
"Age UK West Sussex, Brighton & Hove",95 Queens Road (Ground Floor),,Brighton,,BN1 3XE,08000191310,1-10393339633,,https://www.ageuk.org.uk/westsussexbrightonhove/,Brighton and Hove,South East,,https://www.cqc.org.uk/provider/1-10393339633,,Personal care,Organisation,"Age UK West Sussex, Brighton & Hove"
"Ahmer Usmani, Uzma Patel and Ola Sadiq",10 Selah Drive,,Swanley,,BR8 7WD,07852339102,1-21783705419,,,Kent,South East,,https://www.cqc.org.uk/provider/1-21783705419,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Ahmer Usmani, Uzma Patel and Ola Sadiq"
"Albany House, Staffordshire office",Albany House,Moorland Road,Stoke-on-trent,,ST6 1EB,03332224240,1-16522510862,1-18882312203,,Stoke-on-Trent,West Midlands,,https://www.cqc.org.uk/location/1-18882312203,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Nest Social Care Ltd
"Alexandra Fivey, Zak Vinnicombe and Salam Aziz",62 Benhill Avenue,,Sutton,Surrey,SM1 4DW,07415728267,1-19407886580,,https://www.benhill-dental-practice.co.uk,Sutton,London,,https://www.cqc.org.uk/provider/1-19407886580,Benhill Dental Practice,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Alexandra Fivey, Zak Vinnicombe and Salam Aziz"
"All Care (GB) LIMITED, Erdington House",Cresswell Close,Yarnton,Kidlington,Oxfordshire,OX5 1FZ,07873623702,1-101680786,1-12899291801,https://www.all-care.co.uk,Oxfordshire,South East,,https://www.cqc.org.uk/location/1-12899291801,,"Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs",Supported housing,All Care (GB) Limited
"Alzheimer's and Dementia Support Services, Safeharbour Memory Wellbeing Centre",Coldharbour Road,Northfleet,Gravesend,,DA11 8AE,01474533990,1-172992927,1-226611712,https://www.alzheimers-dementia.org.uk,Kent,South East,2022-05-26T00:00:00Z,https://www.cqc.org.uk/location/1-226611712,Support at Home - Plus,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Alzheimer's and Dementia Support Services
"Ambulance Headquarters, Bernicia House",The Waterfront,Goldcrest Way,Newcastle Upon Tyne,Tyne And Wear,NE15 8NY,01914302000,RX6,RX601,https://www.neas.nhs.uk,Newcastle upon Tyne,North East,2023-02-01T00:00:00Z,https://www.cqc.org.uk/location/RX601,,Services for everyone,Ambulances,North East Ambulance Service NHS Foundation Trust
"Amiras Chokshi, Dipali Chokshi",84 Angle End,Great Wilbraham,Cambridge,Cambridgeshire,CB21 5JG,07949340979,1-17191402151,,,Cambridgeshire,East,,https://www.cqc.org.uk/provider/1-17191402151,Chapel Dental,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Amiras Chokshi, Dipali Chokshi"
"Amit Manoj Salian, Ali Obaydi and Wa Hock Lee",63 Park View Road,,London,,NW10 1AJ,02084529085,1-20704876668,,https://www.Parkviewdental.co.uk,Brent,London,,https://www.cqc.org.uk/provider/1-20704876668,Park View Dental Practice,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Amit Manoj Salian, Ali Obaydi and Wa Hock Lee"
"Amit Sharma, Smita Sah, Pawel Kiersz & Ewelina Kiersz",80 Salisbury Street,,Blandford Forum,Dorset,DT11 7PS,07533338756,1-10935460318,,,Dorset,South West,,https://www.cqc.org.uk/provider/1-10935460318,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Amit Sharma, Smita Sah, Pawel Kiersz & Ewelina Kiersz"
"Ampthill Dental Practice, Miss K Saxby and Associates",Wilmington Lodge,"19 Dunstable Street, Ampthill",Bedford,Bedfordshire,MK45 2NJ,01525403205,1-19879437765,,,Central Bedfordshire,East,,https://www.cqc.org.uk/provider/1-19879437765,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Ampthill Dental Practice, Miss K Saxby and Associates"
"Ampthill Dental Practice, Miss K Saxby and Associates",Wilmington Lodge,"19 Dunstable Street, Ampthill",Bedford,Bedfordshire,MK45 2NJ,01525403205,1-19879437765,1-19886701041,,Central Bedfordshire,East,2017-04-26T00:00:00Z,https://www.cqc.org.uk/location/1-19886701041,,Services for everyone,Dentist,"Ampthill Dental Practice, Miss K Saxby and Associates"
"Amrik Singh Bhandal, Baljit Singh Bhandal, Balbir Singh Bhandal & Chetan Mathias",1 Light Lane,Radford,Coventry,West Midlands,CV1 4BQ,02476228108,1-2003330215,,https://www.bhandaldentalpractices.co.uk,Coventry,West Midlands,,https://www.cqc.org.uk/provider/1-2003330215,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Amrik Singh Bhandal, Baljit Singh Bhandal, Balbir Singh Bhandal & Chetan Mathias"
"Andrewjon's, 7 Redan House",251 Fulham Court,"Fulham Road, Fulham",London,,SW6 5QE,,1-3697943733,1-3918696408,,Hammersmith and Fulham,London,2022-07-06T00:00:00Z,https://www.cqc.org.uk/location/1-3918696408,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Eating disorders,Physical disabilities","Community services - Nursing,Homecare agencies",Andrewjon's Ltd
"Ankush Garg, Vishal Bhudia, Adrian Mullish",107 Hempstead Road,,Watford,Hertfordshire,WD17 3HE,01923231861,1-6804671808,,,Hertfordshire,East,,https://www.cqc.org.uk/provider/1-6804671808,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Ankush Garg, Vishal Bhudia, Adrian Mullish"
"Ascent Care, Training and Supplies Ltd",Unit 2 Sadd's Yard,Skelmersdale Road,Clacton-on-sea,,CO15 6BP,07508238148,1-8653528805,,,Essex,East,,https://www.cqc.org.uk/provider/1-8653528805,Ascent Care,Personal care,Organisation,"Ascent Care, Training and Supplies Ltd"
"Ash Ward, Willow Ward and Wessex House",Barclay Street,,Bridgwater,Somerset,TA6 5LX,,RH5,RH5Y5,https://www.sompar.nhs.uk,Somerset,South West,2013-09-28T00:00:00Z,https://www.cqc.org.uk/location/RH5Y5,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Learning disabilities,Caring for people whose rights are restricted under the Mental Health Act,Substance misuse problems",Hospitals - Mental health/capacity,Somerset NHS Foundation Trust
"Ashton Primary Care Centre, Dental Department",193 Old Street,,Ashton Under Lyne,Lancashire,OL6 7SR,01616220987,1-2443093267,1-4125754644,,Tameside,North West,2018-12-24T00:00:00Z,https://www.cqc.org.uk/location/1-4125754644,,Services for everyone,Dentist,Northwest Orthodontists Limited
"Assure Dialysis Services, Smethwick","Unit 2, Rabone Park",Smethwick,Birmingham,West Midlands,B66 2NN,01213718321,1-1802453242,1-2079191997,https://www.assuredialysis.co.uk,Sandwell,West Midlands,2023-06-08T00:00:00Z,https://www.cqc.org.uk/location/1-2079191997,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Clinic,Assure Dialysis Services Ltd
"Auden Unit, Hollins Park","Hollins Park House, Hollins Park Hospital","Hollins Lane, Winwick",Warrington,Cheshire,WA2 8WA,01514730303,RW4,RW4X2,https://www.merseycare.nhs.uk,Warrington,North West,,https://www.cqc.org.uk/location/RW4X2,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs,Caring for people whose rights are restricted under the Mental Health Act",Hospitals - Mental health/capacity,Mersey Care NHS Foundation Trust
"Ayodeji Kehinde Adenusi, Paul Robert Gibbons",2 Hayes Croft,New Street,Barnsley,South Yorkshire,S70 1RY,07961224064,1-17411605671,,,Barnsley,Yorkshire & Humberside,,https://www.cqc.org.uk/provider/1-17411605671,Hayes Croft Dental Surgery,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Ayodeji Kehinde Adenusi, Paul Robert Gibbons"
"B Bhogal, R Maan, U Maan",Bridge Dental Practice & Cosmetic Studio,14 St. Johns Road,Isleworth,,TW7 6NN,07712809327,1-7467704456,,,Hounslow,London,,https://www.cqc.org.uk/provider/1-7467704456,Bridge Dental Practice and Cosmetic Studio,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"B Bhogal, R Maan, U Maan"
"BDCT Headquarters, New Mill",SBS New Mill,"Victoria Road, Saltaire",Shipley,West Yorkshire,BD18 3LD,01274228300,TAD,TADHQ,https://www.bdct.nhs.uk,Bradford,Yorkshire & Humberside,,https://www.cqc.org.uk/location/TADHQ,,"Caring for children (0 - 18yrs),Services for everyone,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for people whose rights are restricted under the Mental Health Act,Substance misuse problems,Eating disorders","Community services - Healthcare,Community services - Learning disabilities,Community services - Mental Health,Rehabilitation (illness/injury),Community services - Substance abuse",Bradford District Care NHS Foundation Trust
"Baby, Scan and Beyond Limited",5 Library Street,,Wigan,,WN1 1NN,01942316774,1-12219645609,,https://www.babyscanandbeyond.co.uk,Wigan,North West,,https://www.cqc.org.uk/provider/1-12219645609,,Diagnostic and screening procedures,Organisation,"Baby, Scan and Beyond Limited"
"Baby, Scan and Beyond",5 Library Street,,Wigan,,WN1 1NN,01942316774,1-12219645609,1-13220759092,,Wigan,North West,,https://www.cqc.org.uk/location/1-13220759092,Baby Scan Studio,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Diagnosis/screening,"Baby, Scan and Beyond Limited"
"Balbir Singh Bhandal, Amrik Singh Bhandal & Baljit Singh Bhandal",147-150 High Street,,Cradley Heath,,B64 5HJ,01384411522,1-152966682,,https://www.bhandaldentalpractices.co.uk,Sandwell,West Midlands,,https://www.cqc.org.uk/provider/1-152966682,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Balbir Singh Bhandal, Amrik Singh Bhandal & Baljit Singh Bhandal"
"Banbury, Oxfordshire",F111 Cherwell Business Village,Southam Road,Banbury,,OX16 2SP,01865956285,1-15314171079,1-16297561211,https://www.ariseyouthsupport.org,Oxfordshire,South East,,https://www.cqc.org.uk/location/1-16297561211,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Physical disabilities",Homecare agencies,Arise Youth Support Limited
"Barking, Havering and Redbridge University Hospitals NHS Trust","Trust Offices, First Floor Neutral Zone","Queen's Hospital, Rom Valley Way",Romford,Essex,RM7 0AG,01708504800,RF4,,https://www.bhrhospitals.nhs.uk,Havering,London,2023-02-10T00:00:00Z,https://www.cqc.org.uk/provider/RF4,,"Maternity and midwifery services,Termination of pregnancies,Family planning services,Treatment of disease, disorder or injury,Assessment or medical treatment for persons detained under the 1983 Act,Surgical procedures,Diagnostic and screening procedures",NHS Body,"Barking, Havering and Redbridge University Hospitals NHS Trust"
"Bath Row Medical Practice, Attwood Green Health Centre",First Floor - The Colston Suite,"Attwood Green Health Centre, 30 Bath Row",Birmingham,West Midlands,B15 1LZ,01216224846,1-199770667,1-873397972,,Birmingham,West Midlands,2018-07-19T00:00:00Z,https://www.cqc.org.uk/location/1-873397972,,Services for everyone,"Doctors/GPs,Doctors/GPs",Bath Row Medical Practice
"Bawtry Dental, Cosmetic & Implant Clinic Ltd",Doncaster Road,Bawtry,Doncaster,South Yorkshire,DN10 6NE,01302719201,1-447386921,,,Doncaster,Yorkshire & Humberside,,https://www.cqc.org.uk/provider/1-447386921,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,"Bawtry Dental, Cosmetic & Implant Clinic Ltd"
"Beaconsfield Dental Practice, 54 The Maltings",54 Bath Street,,Gravesend,,DA11 0DF,01474559222,1-152952530,1-8396952007,,Kent,South East,2023-08-08T00:00:00Z,https://www.cqc.org.uk/location/1-8396952007,Beaconsfield Dental Services - Gravesend,Services for everyone,Dentist,Dr Carol Adeloye
